esp32_id,ts,temp,hum
,2026-04-27 10:17:02,22.0,51.5
,2026-04-27 10:17:08,22.2,51.5
,2026-04-27 10:17:13,22.2,51.4
,2026-04-27 10:17:19,22.2,51.3
,2026-04-27 10:17:24,22.2,51.3
,2026-04-27 10:17:30,22.2,51.2
,2026-04-27 10:17:35,22.2,51.2
,2026-04-27 10:17:41,22.2,51.2
,2026-04-27 10:17:46,22.3,51.1
,2026-04-27 10:17:52,22.3,51.3
,2026-04-27 10:17:57,22.3,51.2
,2026-04-27 10:18:03,22.3,51.1
,2026-04-27 10:18:08,22.3,51.1
,2026-04-27 10:18:14,22.3,51.2
,2026-04-27 10:18:19,22.3,51.1
,2026-04-27 10:18:25,22.3,51.2
,2026-04-27 10:18:31,22.3,51.3
,2026-04-27 10:18:37,22.3,51.4
,2026-04-27 10:18:42,22.3,51.2
,2026-04-27 10:18:48,22.3,51.1
,2026-04-27 10:18:53,22.3,51.2
,2026-04-27 10:18:59,22.3,51.1
,2026-04-27 10:19:04,22.3,51.1
,2026-04-27 10:19:10,22.2,51.0
,2026-04-27 10:19:15,22.3,51.0
,2026-04-27 10:19:21,22.3,51.1
,2026-04-27 10:19:26,22.2,51.1
,2026-04-27 10:19:32,22.2,51.0
,2026-04-27 10:19:38,22.2,51.1
,2026-04-27 10:19:43,22.2,51.1
,2026-04-27 10:19:49,22.2,51.1
,2026-04-27 10:19:55,22.2,51.1
,2026-04-27 10:20:00,22.2,51.2
,2026-04-27 10:20:05,22.2,51.2
,2026-04-27 10:20:11,22.2,51.3
,2026-04-27 10:20:16,22.2,51.3
,2026-04-27 10:20:22,22.2,51.3
,2026-04-27 10:20:27,22.2,51.3
,2026-04-27 10:20:33,22.2,51.4
,2026-04-27 10:20:38,22.1,51.3
,2026-04-27 10:20:44,22.1,51.4
,2026-04-27 10:20:50,22.1,51.4
,2026-04-27 10:20:55,22.1,51.3
,2026-04-27 10:21:01,22.1,51.4
,2026-04-27 10:21:06,22.1,51.4
,2026-04-27 10:21:12,22.1,51.5
,2026-04-27 10:21:17,22.1,51.5
,2026-04-27 10:21:23,22.1,51.4
,2026-04-27 10:21:29,22.1,51.5
,2026-04-27 10:21:34,22.1,51.5
,2026-04-27 10:21:40,22.1,51.5
,2026-04-27 10:21:45,22.1,51.4
,2026-04-27 10:21:51,22.1,51.5
,2026-04-27 10:21:57,22.1,51.5
,2026-04-27 10:22:02,22.1,51.5
,2026-04-27 10:22:08,22.1,51.6
,2026-04-27 10:22:13,22.1,51.6
,2026-04-27 10:22:19,22.1,51.6
,2026-04-27 10:22:24,22.1,51.6
,2026-04-27 10:22:30,22.1,51.6
,2026-04-27 10:22:35,22.0,51.6
,2026-04-27 10:22:41,22.0,51.7
,2026-04-27 10:22:46,22.0,51.7
,2026-04-27 10:22:52,22.0,51.7
,2026-04-27 10:22:58,22.0,51.7
,2026-04-27 10:23:03,22.0,51.7
,2026-04-27 10:23:09,22.1,51.8
,2026-04-27 10:23:14,22.0,52.8
,2026-04-27 10:23:20,22.2,56.0
,2026-04-27 10:23:25,22.4,58.6
,2026-04-27 10:23:31,22.6,60.3
,2026-04-27 10:23:36,22.8,61.9
,2026-04-27 10:23:42,23.0,63.1
,2026-04-27 10:23:47,23.1,64.0
,2026-04-27 10:23:53,23.3,64.6
,2026-04-27 10:23:59,23.4,65.3
,2026-04-27 10:24:04,23.6,66.2
,2026-04-27 10:24:10,23.7,67.1
,2026-04-27 10:24:15,23.8,67.6
,2026-04-27 10:24:21,23.9,67.9
,2026-04-27 10:24:26,24.0,68.1
,2026-04-27 10:24:32,24.1,68.1
,2026-04-27 10:24:38,24.1,68.1
,2026-04-27 10:24:43,24.2,68.1
,2026-04-27 10:24:49,24.2,68.1
,2026-04-27 10:24:54,24.2,68.0
,2026-04-27 10:25:00,24.3,68.1
,2026-04-27 10:25:05,24.3,68.0
,2026-04-27 10:25:10,24.3,67.9
,2026-04-27 10:25:16,24.3,67.9
,2026-04-27 10:25:22,24.3,67.9
,2026-04-27 10:25:28,24.3,68.0
,2026-04-27 10:25:33,24.3,68.0
,2026-04-27 10:25:39,24.4,68.0
,2026-04-27 10:25:44,24.3,65.2
,2026-04-27 10:25:50,24.3,61.0
,2026-04-27 10:25:55,24.3,57.8
,2026-04-27 10:26:01,24.2,55.5
,2026-04-27 10:26:06,24.2,54.1
,2026-04-27 10:26:12,24.2,52.9
,2026-04-27 10:26:17,24.2,52.0
,2026-04-27 10:26:23,24.2,51.2
,2026-04-27 10:26:28,24.1,50.6
,2026-04-27 10:26:34,24.1,50.4
,2026-04-27 10:26:39,24.1,50.4
,2026-04-27 10:26:45,24.0,50.1
,2026-04-27 10:26:50,24.0,49.8
,2026-04-27 10:26:56,24.0,49.6
,2026-04-27 10:27:02,23.9,49.7
,2026-04-27 10:27:07,23.9,49.6
,2026-04-27 10:27:13,23.9,49.5
,2026-04-27 10:27:18,23.8,49.6
,2026-04-27 10:27:24,23.8,49.9
,2026-04-27 10:27:30,23.8,50.3
,2026-04-27 10:27:35,23.8,50.4
,2026-04-27 10:27:41,23.8,50.2
,2026-04-27 10:27:46,23.8,50.0
,2026-04-27 10:27:52,23.8,50.0
,2026-04-27 10:27:57,23.8,49.9
,2026-04-27 10:28:03,23.8,49.8
,2026-04-27 10:28:08,23.7,49.8
,2026-04-27 10:28:14,23.8,49.8
,2026-04-27 10:28:19,23.7,49.8
,2026-04-27 10:28:25,23.7,49.7
,2026-04-27 10:28:30,23.7,49.7
,2026-04-27 10:28:36,23.7,49.9
,2026-04-27 10:28:41,23.7,49.9
,2026-04-27 10:28:47,23.7,49.7
,2026-04-27 10:28:52,23.7,49.6
,2026-04-27 10:28:58,23.6,49.6
,2026-04-27 10:29:04,23.6,49.8
,2026-04-27 10:29:10,23.6,49.8
,2026-04-27 10:29:15,23.6,50.0
,2026-04-27 10:29:21,23.6,50.1
,2026-04-27 10:29:26,23.6,50.2
,2026-04-27 10:29:32,23.6,50.2
,2026-04-27 10:29:38,23.6,50.0
,2026-04-27 10:29:43,23.6,50.0
,2026-04-27 10:29:49,23.6,49.8
